Gene	RefSeq_transcript	Reason
ABCC12	NM_001393797	Not_found_in_canonical_GTF_exon_records
ABTB3	NM_001018072	Not_found_in_canonical_GTF_exon_records
ACTMAP	NM_198476	Not_found_in_canonical_GTF_exon_records
ADGRD2	NM_001395425	Not_found_in_canonical_GTF_exon_records
ADIG	NM_001393816	Not_found_in_canonical_GTF_exon_records
ADISSP	NM_001258429	Not_found_in_canonical_GTF_exon_records
ADPRHL1	NM_001394807	Not_found_in_canonical_GTF_exon_records
AFG2A	NM_145207	Not_found_in_canonical_GTF_exon_records
AFG2B	NM_024063	Not_found_in_canonical_GTF_exon_records
AIRIM	NM_001350770	Not_found_in_canonical_GTF_exon_records
AKR1C2	NM_001393392	Not_found_in_canonical_GTF_exon_records
AKR1C8	NM_001395972	Not_found_in_canonical_GTF_exon_records
ALDH3B2	NM_001393402	Not_found_in_canonical_GTF_exon_records
ANKRD18B	NM_001393611	Not_found_in_canonical_GTF_exon_records
ANKRD24	NM_001393985	Not_found_in_canonical_GTF_exon_records
ANKRD36B	NM_001393939	Not_found_in_canonical_GTF_exon_records
ANKRD36C	NM_001393982	Not_found_in_canonical_GTF_exon_records
APOBEC3A_B	NM_001193289	Not_found_in_canonical_GTF_exon_records
AQP7B	NM_001382497	Not_found_in_canonical_GTF_exon_records
ARB2A	NM_032042	Not_found_in_canonical_GTF_exon_records
ARK2C	NM_152470	Not_found_in_canonical_GTF_exon_records
ARK2N	NM_145055	Not_found_in_canonical_GTF_exon_records
ATAT1	NM_001413067	Not_found_in_canonical_GTF_exon_records
ATF7IP2	NM_001393719	Not_found_in_canonical_GTF_exon_records
ATOSA	NM_001385016	Not_found_in_canonical_GTF_exon_records
ATOSB	NM_025182	Not_found_in_canonical_GTF_exon_records
ATP5MJ	NM_004894	Not_found_in_canonical_GTF_exon_records
ATP5MK	NM_001206427	Not_found_in_canonical_GTF_exon_records
ATPAF1	NM_001394565	Not_found_in_canonical_GTF_exon_records
ATXN8OS	NR_185841	Not_found_in_canonical_GTF_exon_records
BBLN	NM_024112	Not_found_in_canonical_GTF_exon_records
BICRA	NM_001394372	Not_found_in_canonical_GTF_exon_records
BICRAL	NM_001393499	Not_found_in_canonical_GTF_exon_records
BLACAT1	NM_001397426	Not_found_in_canonical_GTF_exon_records
BLTP1	NM_001384125	Not_found_in_canonical_GTF_exon_records
BLTP2	NM_014680	Not_found_in_canonical_GTF_exon_records
BLTP3A	NM_017754	Not_found_in_canonical_GTF_exon_records
BLTP3B	NM_015054	Not_found_in_canonical_GTF_exon_records
BMAL1	NM_001297719	Not_found_in_canonical_GTF_exon_records
BMAL2	NM_020183	Not_found_in_canonical_GTF_exon_records
BRD10	NM_001017969	Not_found_in_canonical_GTF_exon_records
C12orf76	NM_001389625	Not_found_in_canonical_GTF_exon_records
C17orf114	NM_001395223	Not_found_in_canonical_GTF_exon_records
C1orf202	NM_001395959	Not_found_in_canonical_GTF_exon_records
C20orf202	NM_001394958	Not_found_in_canonical_GTF_exon_records
C21orf140	NM_001282537	Not_found_in_canonical_GTF_exon_records
C2CD4D	NM_001394591	Not_found_in_canonical_GTF_exon_records
C4B_2	NM_001242823	Not_found_in_canonical_GTF_exon_records
C7orf78	NM_001386514	Not_found_in_canonical_GTF_exon_records
