Gene	Classification
PRKAG2	Definitive
ACTN2	Definitive
CSRP3	Definitive
CACNA1C	Definitive
ALPK3	Definitive
FHOD3	Definitive
FLNC	Definitive
TNNC1	Definitive
ALPK3	Strong
TRIM63	Moderate
JPH2	Moderate
KLHL24	Moderate
MT-TI	Moderate
TTN	Limited
RYR2	Limited
OBSCN	Limited
KLF10	Limited
RPS6KB1	Limited
PDLIM3	Limited
NEXN	Limited
RBM20	Limited
TMPO	Limited
CACNB2	Disputed
MYOZ2	Disputed
TRIM63	Disputed
TCAP	Disputed
ANKRD1	Disputed
CASQ2	Disputed
MYLK2	Disputed
MYPN	Disputed
MYH6	Disputed
MYOM1	Disputed
VCL	Disputed
CALR3	Disputed
DSP	Disputed
KCNQ1	Disputed
TNNC2	NKDR
