Gene	Transcript	Chrom	Start	End	Strand	ExonCount
OR4F5	NM_001005484	chr1	65419	71585	+	3
OR4F29	NM_001005221	chr1	367659	368597	+	1
OR4F16	NM_001005277	chr1	621096	622034	-	1
SAMD11	NM_001385641	chr1	859303	879954	+	14
NOC2L	NM_015658	chr1	879583	894636	-	19
KLHL17	NM_198317	chr1	895964	901099	+	12
PLEKHN1	NM_032129	chr1	901862	911245	+	16
HES4	NM_021170	chr1	934344	935477	-	4
ISG15	NM_005101	chr1	948877	949920	+	2
AGRN	NM_198576	chr1	955500	991496	+	36
RNF223	NM_001205252	chr1	1006347	1009686	-	2
C1orf159	NM_017891	chr1	1017203	1051469	-	10
TTLL10	NM_001130045	chr1	1109260	1133316	+	16
TNFRSF18	NM_004195	chr1	1138888	1141972	-	5
TNFRSF4	NM_003327	chr1	1146720	1149533	-	7
SDF4	NM_016176	chr1	1152311	1167381	-	7
B3GALT6	NM_080605	chr1	1167617	1170421	+	1
C1QTNF12	NM_001014980	chr1	1177833	1182102	-	8
UBE2J2	NM_058167	chr1	1189292	1209234	-	7
SCNN1D	NM_001130413	chr1	1215816	1227405	+	18
ACAP3	NM_030649	chr1	1227771	1243310	-	24
PUSL1	NM_153339	chr1	1243977	1247057	+	8
INTS11	NM_017871	chr1	1246980	1260040	-	17
CPTP	NM_001029885	chr1	1260182	1264276	+	3
TAS1R3	NM_152228	chr1	1266660	1270694	+	6
DVL1	NM_001330311	chr1	1270658	1284798	-	15
MXRA8	NM_032348	chr1	1288071	1293935	-	10
AURKAIP1	NM_017900	chr1	1309116	1310587	-	4
CCNL2	NM_030937	chr1	1321091	1334715	-	11
MRPL20	NM_017971	chr1	1337289	1342673	-	4
ANKRD65	NM_001145210	chr1	1353800	1356656	-	4
TMEM88B	NM_001146685	chr1	1361251	1365635	+	2
VWA1	NM_022834	chr1	1371070	1378262	+	3
ATAD3C	NM_001039211	chr1	1385069	1405543	+	12
ATAD3B	NM_031921	chr1	1407145	1433228	+	16
ATAD3A	NM_001170535	chr1	1447542	1470065	+	16
TMEM240	NM_001114748	chr1	1470158	1476004	-	4
SSU72	NM_014188	chr1	1477053	1510243	-	5
FNDC10	NM_001242659	chr1	1533392	1535515	-	1
MIB2	NM_001170687	chr1	1550880	1565985	+	20
MMP23B	NM_006983	chr1	1567552	1570030	+	8
CDK11B	NM_033486	chr1	1570603	1590465	-	18
SLC35E2B	NM_001290264	chr1	1592939	1624234	-	10
CDK11A	NM_024011	chr1	1633818	1655796	-	20
NADK	NM_023018	chr1	1682671	1709909	-	12
GNB1	NM_002074	chr1	1716725	1822526	-	12
CALML6	NM_138705	chr1	1846699	1848735	+	6
TMEM52	NM_178545	chr1	1849030	1850718	-	5
CFAP74	NM_001304360	chr1	1853396	1935225	-	39
GABRD	NM_000815	chr1	1950784	1962197	+	9
PRKCZ	NM_002744	chr1	1981850	2116834	+	18
FAAP20	NM_182533	chr1	2120987	2126211	-	4
SKI	NM_003036	chr1	2159758	2241652	+	7
MORN1	NM_024848	chr1	2252692	2322993	-	14
RER1	NM_007033	chr1	2323280	2336875	+	7
PEX10	NM_002617	chr1	2335413	2344003	-	6
PLCH2	NM_014638	chr1	2407728	2436971	+	22
PANK4	NM_018216	chr1	2439976	2458035	-	19
HES5	NM_001010926	chr1	2460184	2461702	-	3
TNFRSF14	NM_003820	chr1	2487810	2495268	+	8
PRXL2B	NM_152371	chr1	2518216	2522907	+	7
MMEL1	NM_033467	chr1	2522078	2564455	-	24
TTC34	NM_001242672	chr1	2572708	2717433	-	8
ACTRT2	NM_080431	chr1	2938031	2939467	+	1
PRDM16	NM_022114	chr1	2985767	3355185	+	17
ARHGEF16	NM_014448	chr1	3371229	3397677	+	15
MEGF6	NM_001409	chr1	3404515	3528072	-	37
TPRG1L	NM_182752	chr1	3541579	3546691	+	5
WRAP73	NM_017818	chr1	3547334	3566667	-	12
TP73	NM_005427	chr1	3569080	3652765	+	14
